Date,Region,Product,Quantity,Price
2024-01-01,East,Electricity,1000,0.12
2024-01-01,West,Electricity,800,0.11
2024-01-02,East,Electricity,1200,0.12
2024-01-02,West,Electricity,950,0.11
2024-01-03,East,Electricity,1100,0.12
2024-01-03,West,Electricity,750,0.11
2024-01-04,East,Electricity,1400,0.12
2024-01-04,West,Electricity,850,0.11
2024-01-05,East,Electricity,900,0.12
2024-01-05,West,Electricity,700,0.11
2024-01-06,East,Electricity,1300,0.12
2024-01-06,West,Electricity,950,0.11
2024-01-07,East,Electricity,1000,0.12
2024-01-07,West,Electricity,800,0.11
2024-01-08,East,Electricity,1200,0.12
2024-01-08,West,Electricity,950,0.11
2024-01-09,East,Electricity,1100,0.12
2024-01-09,West,Electricity,750,0.11
2024-01-10,East,Electricity,1400,0.12
2024-01-10,West,Electricity,850,0.11
